"database","schema","relation","column","key","type","description"
"cse-6242-sp22-nyatl","gbq_info_schema","int__query_jobs_per_table","project_id","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","int__query_jobs_per_table","dataset_id","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","int__query_jobs_per_table","table_id","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","int__query_jobs_per_table","num_jobs","","int64",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__dataset_metadata__tables","dataset_name","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__dataset_metadata__tables","table_name","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__dataset_metadata__tables","creation_time","","timestamp",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__dataset_metadata__tables","last_modified_time","","timestamp",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__dataset_metadata__tables","row_count","","int64",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__dataset_metadata__tables","size_mb","","float64",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__dataset_metadata__tables","type","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__column_field_paths","project_id","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__column_field_paths","dataset_name","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__column_field_paths","table_name","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__column_field_paths","column_name","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__column_field_paths","field_path","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__column_field_paths","data_type","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__column_field_paths","description","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__column_field_paths","collation_name","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__column_field_paths","rounding_mode","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__columns","project_id","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__columns","dataset_name","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__columns","table_name","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__columns","column_name","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__columns","ordinal_position","","int64",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__columns","is_nullable","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__columns","data_type","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__columns","is_generated","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__columns","generation_expression","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__columns","is_stored","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__columns","is_hidden","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__columns","is_updatable","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__columns","is_system_defined","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__columns","is_partitioning_column","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__columns","clustering_ordinal_position","","int64",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__columns","collation_name","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__columns","column_default","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__columns","rounding_mode","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__dataset_options","project_id","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__dataset_options","dataset_name","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__dataset_options","option_name","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__dataset_options","option_type","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__dataset_options","option_value","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__datasets","project_id","","string","The name of the project that contains the dataset"
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__datasets","dataset_name","","string","The dataset's name also referred to as the datasetId"
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__datasets","schema_owner","","string","This value is always NULL"
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__datasets","creation_time","","timestamp","The dataset's creation time"
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__datasets","last_modified_time","","timestamp","The dataset's last modified time"
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__datasets","location","","string","The dataset's geographic location"
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__datasets","ddl","","string","The CREATE SCHEMA DDL statement that can be used to create the dataset"
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__datasets","default_collation_name","","string","The name of the default collation specification if it exists; otherwise, NULL."
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","creation_time","","timestamp",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","project_id","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","project_number","","int64",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","user_email","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","job_id","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","job_type","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","statement_type","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","priority","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","start_time","","timestamp",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","end_time","","timestamp",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","query","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","state","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","reservation_id","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","total_bytes_processed","","int64",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","total_slot_ms","","int64",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","error_result","","record",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","cache_hit","","boolean",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","destination_table","","record",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","referenced_tables","","record",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","labels","","record",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","timeline","","record",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","job_stages","","record",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","total_bytes_billed","","int64",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","parent_job_id","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","transaction_id","","string",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","session_info","","record",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","dml_statistics","","record",""
"cse-6242-sp22-nyatl","gbq_info_schema","stg__info_schema__jobs","bi_engine_statistics","","record",""
